end,Revenues,NetIncomeLoss,Assets
2011-09-24,,25922000000,116371000000.0
2011-09-24,,25922000000,116371000000.0
2011-09-24,,25922000000,116371000000.0
2011-09-24,,25922000000,116371000000.0
2011-09-24,,25922000000,116371000000.0
2011-09-24,,25922000000,116371000000.0
2011-09-24,,25922000000,116371000000.0
2011-09-24,,25922000000,116371000000.0
2011-09-24,,25922000000,116371000000.0
2011-09-24,,6623000000,116371000000.0
2011-09-24,,6623000000,116371000000.0
2011-09-24,,6623000000,116371000000.0
2011-09-24,,6623000000,116371000000.0
2011-09-24,,6623000000,116371000000.0
2011-09-24,,6623000000,116371000000.0
2011-09-24,,6623000000,116371000000.0
2011-09-24,,6623000000,116371000000.0
2011-09-24,,6623000000,116371000000.0
2011-09-24,,6623000000,116371000000.0
2011-09-24,,6623000000,116371000000.0
2011-09-24,,6623000000,116371000000.0
2011-09-24,,6623000000,116371000000.0
2011-09-24,,6623000000,116371000000.0
2011-09-24,,6623000000,116371000000.0
2011-09-24,,6623000000,116371000000.0
2011-09-24,,6623000000,116371000000.0
2011-09-24,,6623000000,116371000000.0
2011-12-31,,13064000000,138681000000.0
2011-12-31,,13064000000,138681000000.0
2011-12-31,,13064000000,138681000000.0
2011-12-31,,13064000000,138681000000.0
2011-12-31,,13064000000,138681000000.0
2012-03-31,,24686000000,150934000000.0
2012-03-31,,24686000000,150934000000.0
2012-03-31,,11622000000,150934000000.0
2012-03-31,,11622000000,150934000000.0
2012-03-31,,11622000000,150934000000.0
2012-03-31,,11622000000,150934000000.0
2012-03-31,,11622000000,150934000000.0
2012-06-30,,33510000000,162896000000.0
2012-06-30,,33510000000,162896000000.0
2012-06-30,,8824000000,162896000000.0
2012-06-30,,8824000000,162896000000.0
2012-06-30,,8824000000,162896000000.0
2012-06-30,,8824000000,162896000000.0
2012-06-30,,8824000000,162896000000.0
2012-09-29,,41733000000,176064000000.0
2012-09-29,,41733000000,176064000000.0
2012-09-29,,41733000000,176064000000.0
2012-09-29,,41733000000,176064000000.0
2012-09-29,,41733000000,176064000000.0
2012-09-29,,41733000000,176064000000.0
2012-09-29,,41733000000,176064000000.0
2012-09-29,,41733000000,176064000000.0
2012-09-29,,41733000000,176064000000.0
2012-09-29,,41733000000,176064000000.0
2012-09-29,,41733000000,176064000000.0
2012-09-29,,41733000000,176064000000.0
2012-09-29,,41733000000,176064000000.0
2012-09-29,,41733000000,176064000000.0
2012-09-29,,41733000000,176064000000.0
2012-09-29,,41733000000,176064000000.0
2012-09-29,,41733000000,176064000000.0
2012-09-29,,41733000000,176064000000.0
2012-09-29,,41733000000,176064000000.0
2012-09-29,,41733000000,176064000000.0
2012-09-29,,41733000000,176064000000.0
2012-09-29,,41733000000,176064000000.0
2012-09-29,,41733000000,176064000000.0
