end,val,tag
2014-09-27,39510000000,NetIncomeLoss
2014-09-27,8467000000,NetIncomeLoss
2014-09-27,8467000000,NetIncomeLoss
2014-09-27,8467000000,NetIncomeLoss
2014-12-27,18024000000,NetIncomeLoss
2014-12-27,18024000000,NetIncomeLoss
2014-12-27,18024000000,NetIncomeLoss
2014-12-27,18024000000,NetIncomeLoss
2015-03-28,31593000000,NetIncomeLoss
2015-03-28,31593000000,NetIncomeLoss
2015-03-28,13569000000,NetIncomeLoss
2015-03-28,13569000000,NetIncomeLoss
2015-03-28,13569000000,NetIncomeLoss
2015-03-28,13569000000,NetIncomeLoss
2015-06-27,42270000000,NetIncomeLoss
2015-06-27,42270000000,NetIncomeLoss
2015-06-27,10677000000,NetIncomeLoss
2015-06-27,10677000000,NetIncomeLoss
2015-06-27,10677000000,NetIncomeLoss
2015-06-27,10677000000,NetIncomeLoss
2015-09-26,53394000000,NetIncomeLoss
2015-09-26,53394000000,NetIncomeLoss
2015-09-26,53394000000,NetIncomeLoss
2015-09-26,11124000000,NetIncomeLoss
2015-09-26,11124000000,NetIncomeLoss
2015-12-26,18361000000,NetIncomeLoss
2015-12-26,18361000000,NetIncomeLoss
2015-12-26,18361000000,NetIncomeLoss
2015-12-26,18361000000,NetIncomeLoss
2016-03-26,28877000000,NetIncomeLoss
2016-03-26,28877000000,NetIncomeLoss
2016-03-26,10516000000,NetIncomeLoss
2016-03-26,10516000000,NetIncomeLoss
2016-03-26,10516000000,NetIncomeLoss
2016-03-26,10516000000,NetIncomeLoss
2016-06-25,36673000000,NetIncomeLoss
2016-06-25,36673000000,NetIncomeLoss
2016-06-25,7796000000,NetIncomeLoss
2016-06-25,7796000000,NetIncomeLoss
2016-06-25,7796000000,NetIncomeLoss
2016-06-25,7796000000,NetIncomeLoss
2016-09-24,45687000000,NetIncomeLoss
2016-09-24,45687000000,NetIncomeLoss
2016-09-24,45687000000,NetIncomeLoss
2016-09-24,9014000000,NetIncomeLoss
2016-09-24,9014000000,NetIncomeLoss
2016-12-31,17891000000,NetIncomeLoss
2016-12-31,17891000000,NetIncomeLoss
2016-12-31,17891000000,NetIncomeLoss
2016-12-31,17891000000,NetIncomeLoss
2017-04-01,28920000000,NetIncomeLoss
2017-04-01,28920000000,NetIncomeLoss
2017-04-01,11029000000,NetIncomeLoss
2017-04-01,11029000000,NetIncomeLoss
2017-04-01,11029000000,NetIncomeLoss
2017-04-01,11029000000,NetIncomeLoss
2017-07-01,37637000000,NetIncomeLoss
2017-07-01,37637000000,NetIncomeLoss
2017-07-01,8717000000,NetIncomeLoss
2017-07-01,8717000000,NetIncomeLoss
2017-07-01,8717000000,NetIncomeLoss
2017-07-01,8717000000,NetIncomeLoss
2017-09-30,48351000000,NetIncomeLoss
2017-09-30,48351000000,NetIncomeLoss
2017-09-30,48351000000,NetIncomeLoss
2017-09-30,10714000000,NetIncomeLoss
2017-09-30,10714000000,NetIncomeLoss
2017-12-30,20065000000,NetIncomeLoss
2017-12-30,20065000000,NetIncomeLoss
2017-12-30,20065000000,NetIncomeLoss
2017-12-30,20065000000,NetIncomeLoss
2018-03-31,33887000000,NetIncomeLoss
2018-03-31,33887000000,NetIncomeLoss
2018-03-31,13822000000,NetIncomeLoss
2018-03-31,13822000000,NetIncomeLoss
2018-03-31,13822000000,NetIncomeLoss
2018-03-31,13822000000,NetIncomeLoss
2018-06-30,45406000000,NetIncomeLoss
2018-06-30,45406000000,NetIncomeLoss
2018-06-30,11519000000,NetIncomeLoss
2018-06-30,11519000000,NetIncomeLoss
2018-06-30,11519000000,NetIncomeLoss
2018-06-30,11519000000,NetIncomeLoss
2018-09-29,59531000000,NetIncomeLoss
2018-09-29,59531000000,NetIncomeLoss
2018-09-29,59531000000,NetIncomeLoss
2018-09-29,14125000000,NetIncomeLoss
2018-09-29,14125000000,NetIncomeLoss
2018-12-29,19965000000,NetIncomeLoss
2018-12-29,19965000000,NetIncomeLoss
2018-12-29,19965000000,NetIncomeLoss
2018-12-29,19965000000,NetIncomeLoss
2019-03-30,31526000000,NetIncomeLoss
2019-03-30,31526000000,NetIncomeLoss
2019-03-30,11561000000,NetIncomeLoss
2019-03-30,11561000000,NetIncomeLoss
2019-03-30,11561000000,NetIncomeLoss
2019-03-30,11561000000,NetIncomeLoss
2019-06-29,41570000000,NetIncomeLoss
2019-06-29,41570000000,NetIncomeLoss
2019-06-29,10044000000,NetIncomeLoss
2019-06-29,10044000000,NetIncomeLoss
2019-06-29,10044000000,NetIncomeLoss
2019-06-29,10044000000,NetIncomeLoss
2019-09-28,55256000000,NetIncomeLoss
2019-09-28,55256000000,NetIncomeLoss
2019-09-28,55256000000,NetIncomeLoss
2019-09-28,13686000000,NetIncomeLoss
2019-09-28,13686000000,NetIncomeLoss
2019-12-28,22236000000,NetIncomeLoss
2019-12-28,22236000000,NetIncomeLoss
2019-12-28,22236000000,NetIncomeLoss
2020-03-28,33485000000,NetIncomeLoss
2020-03-28,33485000000,NetIncomeLoss
2020-03-28,11249000000,NetIncomeLoss
2020-03-28,11249000000,NetIncomeLoss
2020-03-28,11249000000,NetIncomeLoss
2020-06-27,44738000000,NetIncomeLoss
2020-06-27,44738000000,NetIncomeLoss
2020-06-27,11253000000,NetIncomeLoss
2020-06-27,11253000000,NetIncomeLoss
2020-06-27,11253000000,NetIncomeLoss
2020-09-26,57411000000,NetIncomeLoss
2020-09-26,57411000000,NetIncomeLoss
2020-09-26,57411000000,NetIncomeLoss
2020-09-26,12673000000,NetIncomeLoss
2020-12-26,28755000000,NetIncomeLoss
2020-12-26,28755000000,NetIncomeLoss
2021-03-27,52385000000,NetIncomeLoss
2021-03-27,52385000000,NetIncomeLoss
2021-03-27,23630000000,NetIncomeLoss
2021-03-27,23630000000,NetIncomeLoss
2021-06-26,74129000000,NetIncomeLoss
2021-06-26,74129000000,NetIncomeLoss
2021-06-26,21744000000,NetIncomeLoss
2021-06-26,21744000000,NetIncomeLoss
2021-09-25,94680000000,NetIncomeLoss
2021-09-25,94680000000,NetIncomeLoss
2021-09-25,94680000000,NetIncomeLoss
2021-12-25,34630000000,NetIncomeLoss
2021-12-25,34630000000,NetIncomeLoss
2022-03-26,59640000000,NetIncomeLoss
2022-03-26,59640000000,NetIncomeLoss
2022-03-26,25010000000,NetIncomeLoss
2022-03-26,25010000000,NetIncomeLoss
2022-06-25,79082000000,NetIncomeLoss
2022-06-25,79082000000,NetIncomeLoss
2022-06-25,19442000000,NetIncomeLoss
2022-06-25,19442000000,NetIncomeLoss
2022-09-24,99803000000,NetIncomeLoss
2022-09-24,99803000000,NetIncomeLoss
2022-09-24,99803000000,NetIncomeLoss
2022-12-31,29998000000,NetIncomeLoss
