end,GrossProfit
2020-06-27,22680000000
2020-06-27,22680000000
2020-09-26,104956000000
2020-09-26,104956000000
2020-09-26,104956000000
2020-09-26,24689000000
2020-12-26,44328000000
2020-12-26,44328000000
2021-03-27,82407000000
2021-03-27,82407000000
2021-03-27,38079000000
2021-03-27,38079000000
2021-06-26,117662000000
2021-06-26,117662000000
2021-06-26,35255000000
2021-06-26,35255000000
2021-09-25,152836000000
2021-09-25,152836000000
2021-09-25,152836000000
2021-12-25,54243000000
2021-12-25,54243000000
2022-03-26,96802000000
2022-03-26,96802000000
2022-03-26,42559000000
2022-03-26,42559000000
2022-06-25,132687000000
2022-06-25,132687000000
2022-06-25,35885000000
2022-06-25,35885000000
2022-09-24,170782000000
2022-09-24,170782000000
2022-09-24,170782000000
2022-12-31,50332000000
2022-12-31,50332000000
2023-04-01,92308000000
2023-04-01,92308000000
2023-04-01,41976000000
2023-04-01,41976000000
2023-07-01,128721000000
2023-07-01,128721000000
2023-07-01,36413000000
2023-07-01,36413000000
2023-09-30,169148000000
2023-09-30,169148000000
2023-12-30,54855000000
2023-12-30,54855000000
2024-03-30,97126000000
2024-03-30,97126000000
2024-03-30,42271000000
2024-03-30,42271000000
2024-06-29,136804000000
2024-06-29,136804000000
2024-06-29,39678000000
2024-06-29,39678000000
2024-09-28,180683000000
2024-12-28,58275000000
2025-03-29,103142000000
2025-03-29,44867000000
2025-06-28,146860000000
2025-06-28,43718000000
