end,StockholdersEquity
2024-03-30,74194000000
2024-06-29,66708000000
2024-06-29,66708000000
2024-09-28,56950000000
2024-09-28,56950000000
2024-09-28,56950000000
2024-09-28,56950000000
2024-12-28,66758000000
2024-12-28,66758000000
2025-03-29,66796000000
2025-03-29,66796000000
2025-06-28,65830000000
